,food_id,food_name,flavor_group,orig_content,normalized
2762,872,Margarine,chemical,257.0,0.11078
2767,873,Margarine-like spread,chemical,42.0,0.10474
2772,874,Hummus,chemical,213.0,0.1668
2777,876,Potato puffs,chemical,189.0,0.15803
2782,877,Potato gratin,chemical,500.0,0.09893
2787,878,Milk substitute,chemical,55.0,0.08423
2792,880,Soft-necked garlic,chemical,224.41,0.16795000000000002
2797,881,Cabbage,chemical,301.75,0.0955
2803,906,Sunburst squash (pattypan squash),chemical,7067.0,0.16499
2808,907,Green zucchini,chemical,1338.0900000000001,0.21879
2814,908,Yellow zucchini,chemical,1285.65,0.20394
2821,909,Green bell pepper,chemical,1588.2921000000001,0.19954
2827,910,Yellow bell pepper,chemical,417.39,0.19556
2833,911,Orange bell pepper,chemical,698.21504,0.31033
2839,912,Red bell pepper,chemical,51483.98357081,0.24056999999999998
2844,913,Italian sweet red pepper,chemical,1065.0436,0.17896
2850,914,Yellow wax bean,chemical,2825.0910000000003,0.18081999999999998
2856,915,Green bean,chemical,1428.34,0.22695
2861,916,Saskatoon berry,chemical,58.3,0.41201
2865,917,Nanking cherry,chemical,112.9,0.39106
2870,918,Japanese pumpkin,chemical,6441.0,0.16107
2876,919,White cabbage,chemical,618.15,0.13082
2881,920,Romaine lettuce,chemical,271.2172,0.16857
2887,921,"Cow milk, pasteurized, vitamin A + D added, 0% fat",chemical,114.0,0.09612
2892,922,"Cow milk, pasteurized, vitamin A + D added, 1% fat",chemical,114.0,0.0962
2897,923,"Cow milk, pasteurized, vitamin A + D added, 2% fat",chemical,112.0,0.09639
2902,924,"Cow milk, pasteurized, vitamin D added, 3.25% fat",chemical,107.0,0.09648
2908,939,Black tea,chemical,4.0,0.02152
2914,940,Green tea,chemical,4.0,0.02152
2925,949,White wine,chemical,259.8,0.06656
2932,985,Sour cream,chemical,75.0,0.08371
2937,1019,White bread,chemical,5236.0,0.12602
2944,1023,Taco shell,chemical,997.0,0.22087
