,source_id,food_id,flavor_name,food_name,orig_content,flavor_group,normalized
227,556,28,ketone,Swede,103.0,chemical,0.19185
228,633,28,neroli,Swede,0.887499995,floral,0.00165
229,446,30,diphenyl oxide,Common cabbage,644.0,green,0.07138
230,465,30,everlasting,Common cabbage,1582.0,floral,0.17535
231,474,30,feta cheese,Common cabbage,1085.0,milky,0.12027
232,484,30,foliage,Common cabbage,1024.0,floral,0.1135
233,556,30,ketone,Common cabbage,1648.0,chemical,0.18267
234,570,30,lemon peel,Common cabbage,2941.0,fruity,0.32599
235,604,30,mercaptan,Common cabbage,23.6,chemical,0.00262
236,633,30,neroli,Common cabbage,74.14214289799999,floral,0.00822
237,446,31,diphenyl oxide,Cauliflower,841.0,green,0.08449
238,465,31,everlasting,Cauliflower,2106.0,floral,0.21157
239,474,31,feta cheese,Cauliflower,1645.0,milky,0.16526
240,484,31,foliage,Cauliflower,1305.0,floral,0.1311
241,556,31,ketone,Cauliflower,2404.0,chemical,0.24151
242,570,31,lemon peel,Cauliflower,1651.0,fruity,0.16586
243,633,31,neroli,Cauliflower,1.788333333,floral,0.00018
244,847,31,watery,Cauliflower,0.439999998,wine_like,4e-05
245,446,32,diphenyl oxide,Brussel sprouts,546.0,green,0.03748
246,465,32,everlasting,Brussel sprouts,3306.85,floral,0.227
247,474,32,feta cheese,Brussel sprouts,2366.8,milky,0.16247
248,484,32,foliage,Brussel sprouts,1100.0,floral,0.07551
249,556,32,ketone,Brussel sprouts,1560.0,chemical,0.10709
250,570,32,lemon peel,Brussel sprouts,5680.0,fruity,0.38991
251,633,32,neroli,Brussel sprouts,2.724999983,floral,0.00019
252,678,32,plant,Brussel sprouts,5.23,green,0.00036
253,446,34,diphenyl oxide,Broccoli,864.98,green,0.08026
254,465,34,everlasting,Broccoli,3029.18,floral,0.28106
255,474,34,feta cheese,Broccoli,2598.65,milky,0.24111
256,484,34,foliage,Broccoli,1204.96,floral,0.1118
257,556,34,ketone,Broccoli,1623.62,chemical,0.15064
258,567,34,leathery,Broccoli,0.48,animal,4e-05
259,570,34,lemon peel,Broccoli,1422.0,fruity,0.13194
260,633,34,neroli,Broccoli,30.269933293,floral,0.00281
261,846,34,watercress,Broccoli,3.6651,fruity,0.00034
262,446,35,diphenyl oxide,Chinese cabbage,48.0,green,0.08999
263,465,35,everlasting,Chinese cabbage,112.0,floral,0.20997
264,474,35,feta cheese,Chinese cabbage,74.0,milky,0.13873
265,484,35,foliage,Chinese cabbage,72.0,floral,0.13498
266,556,35,ketone,Chinese cabbage,144.0,chemical,0.26996
267,570,35,lemon peel,Chinese cabbage,52.0,fruity,0.09748
268,604,35,mercaptan,Chinese cabbage,0.16,chemical,0.0003
269,633,35,neroli,Chinese cabbage,31.26,floral,0.0586
270,446,36,diphenyl oxide,Turnip,980.76,green,0.10672
271,465,36,everlasting,Turnip,1773.46,floral,0.19297
272,474,36,feta cheese,Turnip,1737.22,milky,0.18903
273,484,36,foliage,Turnip,1551.22,floral,0.16879
274,556,36,ketone,Turnip,1853.78,chemical,0.20171
275,567,36,leathery,Turnip,0.06,animal,1e-05
